id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.3,Ideal,F,SI1,61.4,55.0,4.31,4.34,2.65,630.99
1,0.41,Ideal,G,SI1,61.6,57.0,4.77,4.81,2.95,701.21
2,0.3,Very Good,H,SI1,62.2,60.0,4.24,4.28,2.65,604.26
3,1.04,Premium,F,VVS2,62.5,58.0,6.46,6.37,4.01,909.9
4,0.84,Fair,G,VS1,55.6,64.0,6.42,6.32,3.54,790.99
5,1.21,Fair,J,SI1,65.0,59.0,6.64,6.57,4.29,833.01
6,0.54,Ideal,G,VVS1,61.6,55.0,5.22,5.24,3.22,762.12
7,0.31,Ideal,H,VVS1,62.7,54.0,4.33,4.38,2.73,656.1
8,1.22,Ideal,I,SI1,62.6,57.0,6.8,6.77,4.25,866.68
9,0.33,Premium,E,SI1,59.1,59.0,4.59,4.54,2.7,654.1
10,1.35,Premium,J,VS2,61.2,61.0,7.13,7.08,4.35,851.2
11,1.58,Premium,D,SI1,59.0,59.0,7.68,7.63,4.52,949.77
12,0.75,Ideal,J,VS2,61.2,56.0,5.86,5.9,3.6,765.16
13,2.01,Good,I,VS2,59.9,65.0,8.19,8.14,4.89,966.33
14,0.73,Premium,E,SI2,61.8,58.0,5.76,5.71,3.54,773.11
15,1.52,Ideal,F,SI1,62.3,55.1,7.29,7.39,4.58,939.02
16,1.5,Very Good,J,VS2,60.5,63.0,7.27,7.32,4.41,887.86
17,0.32,Premium,D,SI1,60.8,58.0,4.44,4.41,2.69,662.8
18,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,792.88
19,0.3,Very Good,G,IF,62.8,57.0,4.28,4.32,2.7,679.68
20,0.33,Ideal,I,SI1,62.7,56.0,4.44,4.4,2.77,634.91
21,0.43,Very Good,G,VVS2,60.2,56.0,4.95,4.97,2.99,688.35
22,1.02,Very Good,D,SI2,62.8,55.0,6.38,6.46,4.03,851.0
23,1.23,Premium,E,VS2,61.7,57.0,6.87,6.84,4.23,910.91
24,1.26,Ideal,F,SI2,62.7,58.0,6.91,6.87,4.32,874.46
25,1.01,Fair,I,VS2,68.7,58.0,6.14,6.0,4.19,818.79
26,1.19,Premium,H,SI1,62.7,56.0,6.76,6.7,4.22,866.6
27,0.3,Premium,I,VVS2,61.8,58.0,4.28,4.33,2.66,626.53
28,0.71,Premium,D,SI1,59.7,59.0,5.8,5.82,3.47,797.69
29,1.03,Fair,I,VS1,57.6,58.0,6.67,6.58,3.81,837.29
30,0.3,Ideal,I,SI2,61.9,56.0,4.3,4.32,2.67,590.54
31,0.32,Ideal,H,VS1,61.9,55.0,4.42,4.4,2.73,657.93
32,1.9,Premium,J,SI1,61.9,57.0,7.98,7.95,4.93,929.51
33,1.51,Very Good,G,VS1,63.5,55.0,7.26,7.3,4.62,951.96
34,0.31,Ideal,G,VS2,62.1,54.0,4.34,4.36,2.7,623.64
35,1.04,Very Good,G,SI2,62.7,57.0,6.4,6.46,4.03,832.48
36,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83,829.5
37,0.33,Very Good,D,SI2,60.7,56.0,4.43,4.46,2.7,619.85
38,0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,681.56
39,1.25,Ideal,F,VS1,62.0,55.0,6.95,6.91,4.3,918.62
40,1.21,Premium,H,SI2,58.8,60.0,6.99,6.95,4.1,871.57
41,0.53,Very Good,J,VS2,62.7,56.0,5.15,5.18,3.24,690.37
42,1.02,Premium,F,SI2,60.0,60.0,6.57,6.53,3.93,836.26
43,1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,842.09
44,1.56,Ideal,H,VS2,61.5,56.0,7.5,7.46,4.6,936.19
45,0.64,Good,F,VS2,59.3,60.7,5.59,5.66,3.34,763.19
